sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/linear_acceleration/x
0.049, 8.22919
0.099, 7.98164
0.149, 8.03869
0.199, 8.16476
0.249, 8.24275
0.299, 8.20506
0.349, 8.22228
0.399, 8.23739
0.449, 8.20793
0.499, 8.14829
0.549, 8.13228
0.599, 8.18808
0.649, 8.21543
0.699, 8.21215
0.749, 8.22279
0.799, 8.20973
0.849, 8.18512
0.899, 8.15802
0.949, 8.16638
0.999, 8.19877
1.049, 8.20373
1.099, 8.2125
1.149, 8.20946
1.199, 8.197
1.249, 8.18063
1.299, 8.17159
1.349, 8.18259
1.399, 8.19593
1.449, 8.23884
1.499, 8.2135
1.549, 8.16008
1.599, 8.1123
1.649, 8.15911
1.699, 8.22983
1.749, 8.219
1.799, 8.22903
1.849, 8.21899
1.899, 8.19098
1.949, 8.14542
1.999, 8.15164
2.049, 8.19418
2.099, 8.21423
2.149, 8.21313
2.199, 8.21728
2.249, 8.20244
2.299, 8.1784
2.349, 8.15899
2.399, 8.17704
2.449, 8.20131
2.499, 8.20388
2.549, 8.21201
2.599, 8.20471
2.649, 8.19144
2.699, 8.17853
2.749, 8.17203
2.799, 8.18953
2.849, 8.19771
2.899, 8.20494
2.949, 8.2046
2.999, 8.19617
3.049, 8.18722
3.099, 8.1804
3.149, 8.18325
3.199, 8.192
3.249, 8.19984
3.299, 8.20184
3.349, 8.19808
3.399, 8.19255
3.449, 8.18616
3.499, 8.18411
3.549, 8.18925
3.599, 8.1953
3.649, 8.19767
3.699, 8.19839
3.749, 8.19545
3.799, 8.18978
3.849, 8.18646
3.899, 8.18848
3.949, 8.19264
3.999, 8.19543
4.049, 8.19645
4.099, 8.19574
4.149, 8.1925
4.199, 8.18913
4.248, 8.21998
4.299, 8.16144
4.349, 8.19327
4.399, 8.19548
4.449, 8.19513
4.499, 8.19374
4.549, 8.19173
4.599, 8.18937
4.649, 8.19111
4.699, 8.19184
4.749, 8.19437
4.799, 8.19433
4.849, 8.19388
4.899, 8.19287
4.949, 8.19107
4.999, 8.19138
5.049, 8.19123
5.099, 8.19307
5.149, 8.19361
5.199, 8.19417
5.249, 8.19323
5.299, 8.19194
5.349, 8.19155
5.399, 8.1916
5.449, 8.19243
5.499, 8.19322
5.549, 8.19358
5.599, 8.19312
5.649, 8.19295
5.699, 8.19197
5.749, 8.19183
5.799, 8.19214
5.849, 8.19276
5.899, 8.19299
5.949, 8.19353
5.999, 8.19296
6.049, 8.19221
6.099, 8.1921
6.149, 8.19214
6.199, 8.19248
6.249, 8.1932
6.299, 8.19281
6.349, 8.19333
6.399, 8.19271
6.449, 8.19209
6.499, 8.19257
6.549, 8.19213
6.599, 8.19296
6.649, 8.1929
6.699, 8.19273
6.749, 8.19312
6.799, 8.19259
6.849, 8.19244
6.899, 8.19211
6.949, 8.1926
6.999, 8.19279
7.049, 8.19315
7.099, 8.19289
7.149, 8.19245
7.199, 8.19288
7.249, 8.19249
7.299, 8.19256
7.349, 8.19268
7.399, 8.19281
7.449, 8.19282
7.499, 8.19252
7.549, 8.19296
7.599, 8.19257
7.649, 8.19234
7.698, 8.22025
7.749, 8.16622
7.799, 8.19305
7.849, 8.19284
7.899, 8.19245
7.949, 8.19296
7.999, 8.1926
8.049, 8.19264
8.099, 8.1927
8.149, 8.19277
8.199, 8.19282
8.249, 8.19248
8.299, 8.193
8.349, 8.19241
8.399, 8.19265
8.449, 8.19272
8.499, 8.19302
8.549, 8.19277
8.599, 8.1925
8.649, 8.19277
8.699, 8.19269
8.749, 8.19272
8.799, 8.19295
8.849, 8.19276
8.899, 8.19251
8.949, 8.19276
8.999, 8.19303
9.049, 8.19251
9.099, 8.19272
9.149, 8.19298
9.199, 8.1925
9.249, 8.19275
9.299, 8.19304
9.349, 8.1925
9.399, 8.19303
9.449, 8.19252
9.499, 8.19297
9.549, 8.19252
9.599, 8.19276
9.649, 8.19277
9.699, 8.19279
9.749, 8.19278
9.799, 8.19278
9.849, 8.19276
9.899, 8.19277
9.949, 8.19277
9.999, 8.19301
10.049, 8.19253
10.099, 8.19307
10.149, 8.19252
10.199, 8.19306
10.249, 8.19251
10.299, 8.19279
10.349, 8.19302
10.399, 8.19254
10.449, 8.19281
10.499, 8.19304
10.549, 8.19254
10.599, 8.19308
10.649, 8.19275
10.699, 8.19258
10.749, 8.19303
10.799, 8.19256
10.849, 8.19278
10.899, 8.1931
10.949, 8.19255
10.999, 8.19277
11.049, 8.1931
11.099, 8.19277
11.149, 8.19257
11.199, 8.19283
11.249, 8.19306
11.299, 8.19257
11.349, 8.19283
11.399, 8.19307
11.449, 8.25704
11.499, 8.18677
11.549, 8.18495
11.599, 8.18397
11.649, 8.18259
11.699, 8.18016
11.749, 8.17739
11.799, 8.17509
11.849, 8.17212
11.899, 8.16914
11.949, 8.16454
11.999, 8.16109
12.049, 8.15586
12.099, 8.14789
12.149, 8.16328
12.199, 8.17689
12.249, 8.43276
12.299, 7.95817
12.349, 7.97982
12.399, 8.24579
12.449, 8.22664
12.499, 8.11998
12.549, 7.85077
12.599, 8.14613
12.649, 7.99923
12.699, 8.1357
12.749, 8.1217
12.799, 8.01504
12.849, 7.89725
12.899, 8.02873
12.949, 7.91155
12.999, 8.15832
13.049, 7.9541
13.099, 7.95326
13.149, 7.92353
13.199, 7.90922
13.249, 7.91607
13.299, 7.90081
13.349, 7.87224
13.399, 7.85129
13.449, 7.83752
13.499, 7.82863
13.549, 7.80778
13.599, 7.79387
13.649, 7.77691
13.699, 7.76735
13.749, 7.74192
13.799, 7.72202
13.849, 7.69772
13.899, 7.6859
13.949, 7.66571
13.999, 7.65406
14.049, 7.62856
14.099, 7.61105
14.149, 7.58259
14.199, 7.56794
14.249, 7.54187
14.299, 7.52273
14.349, 7.50426
14.399, 7.48115
14.449, 7.66462
14.499, 7.41481
14.549, 7.46423
14.599, 7.46498
14.649, 7.47218
14.699, 7.4793
14.749, 7.47938
14.799, 7.4742
14.849, 7.48919
14.899, 7.30265
14.949, 7.52309
14.999, 7.5684
15.049, 7.41491
15.099, 7.56566
15.149, 7.52278
15.199, 7.42679
15.249, 7.39346
15.299, 7.50455
15.349, 7.5471
15.399, 7.45262
15.449, 7.3825
15.499, 7.51664
15.549, 7.52067
15.599, 7.52182
15.649, 7.32236
15.699, 7.55259
15.749, 7.4731
15.799, 7.51422
15.849, 7.38256
15.899, 7.58556
15.949, 7.41177
15.999, 7.50197
16.049, 7.51054
16.099, 7.50948
16.149, 7.32482
16.199, 7.58682
16.249, 7.43549
16.299, 7.50674
16.349, 7.505
16.399, 7.50424
16.449, 7.44942
16.499, 7.47031
16.549, 7.46876
16.599, 7.40643
16.649, 7.51713
16.699, 7.48402
16.749, 7.50609
16.799, 7.48977
16.849, 7.47849
16.899, 7.38356
16.949, 7.50195
