sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/angular_velocity/z
0.049, 0.0284246
0.099, 0.0224203
0.149, 0.0111685
0.199, -0.00097901
0.249, -0.0072794
0.299, 0.00252958
0.349, 0.00366011
0.399, -0.00159436
0.449, -0.00319463
0.499, -0.000192101
0.549, 0.00116864
0.599, -0.000122515
0.649, 0.00068056
0.699, 0.000463563
0.749, -0.000745354
0.799, 6.15969e-05
0.849, 0.000686025
0.899, -0.000890641
0.949, -0.00020949
0.999, 0.000867547
1.049, 5.84245e-05
1.099, -0.000530931
1.149, 0.000341167
1.199, -8.87321e-05
1.249, 0.000300671
1.299, -0.000811051
1.349, 0.000194973
1.399, 0.000307506
1.449, -0.000453251
1.499, 9.16335e-06
1.549, -7.31098e-05
1.599, -0.000206709
1.649, -0.00011109
1.699, -0.000210147
1.749, 0.000475798
1.799, -1.7296e-05
1.849, -0.00155692
1.899, -0.00508248
1.949, -0.00366929
1.999, -0.000447501
2.049, -0.00114867
2.099, -0.00183801
2.149, -0.00231495
2.199, -0.000955084
2.249, -0.00171862
2.299, -0.00416784
2.349, -0.00192029
2.399, -0.0025996
2.449, -0.000835515
2.499, -0.00140299
2.549, -0.0020727
2.599, -0.00128416
2.649, -0.0038071
2.699, -0.00296042
2.749, -0.00298955
2.799, -0.0007321
2.849, -0.00142554
2.899, -0.00206503
2.949, -0.000687275
2.999, -0.00164708
3.049, -0.00388443
3.099, -0.00262942
3.149, -0.00228773
3.199, -0.000904769
3.249, -0.00200883
3.299, -0.000989402
3.349, -0.00112305
3.399, -0.00263882
3.449, -0.00311007
3.499, -0.00224215
3.549, -0.000213533
3.599, -0.00181101
3.649, -0.00168663
3.699, -0.00118286
3.749, -0.00149623
3.799, -0.00178382
3.849, -0.00252992
3.899, -0.000921552
3.949, -0.00144336
3.999, -0.00152973
4.049, -0.0012075
4.098, -0.00297058
4.149, -0.00102541
4.199, -0.00208577
4.249, -0.00111087
4.299, -0.000775208
4.349, -0.00114651
4.399, -0.00117018
4.449, -0.00113978
4.499, -0.000900625
4.549, -0.00177345
4.599, -0.00113488
4.649, -0.00122405
4.699, -0.000567361
4.749, -0.000409648
4.799, -0.00108876
4.849, -0.000985421
4.899, -0.000685706
4.949, -0.00125224
4.999, -0.000988412
5.049, -0.000607687
5.099, -0.00100314
5.149, -0.000972198
5.199, -0.000995242
5.248, -0.00291117
5.299, -0.000683243
5.349, -0.000752055
5.399, -0.000534405
5.449, -0.000865366
5.499, -0.000901275
5.549, -0.000957765
5.599, -0.000905705
5.649, -0.000820926
5.699, -0.0007578
5.749, -0.000771108
5.799, -0.000807567
5.849, -0.000265309
5.899, -0.000852428
5.949, -0.000276598
5.999, -0.000809609
6.049, -0.000778295
6.099, -0.000346789
6.149, -0.000290921
6.199, -0.000785072
6.249, -0.000861095
6.299, -0.000191951
6.349, -0.000193155
6.399, -0.000237606
6.449, -0.000761156
6.499, -0.00072031
6.549, -0.000739498
6.599, -0.000753228
6.649, -0.00075706
6.699, -0.000751511
6.749, -0.000114613
6.799, -0.000114968
6.849, -0.000743425
6.899, -0.000694845
6.949, -8.48286e-05
6.999, -0.000714399
7.049, -9.33739e-05
7.099, -0.000764904
7.149, -5.44595e-05
7.199, -4.58276e-05
7.249, -4.77805e-05
7.299, -0.000659671
7.349, -0.000669949
7.399, -0.000671561
7.449, -0.000671709
7.499, -4.13528e-05
7.549, -0.000648693
7.599, -4.20866e-05
7.649, -2.80239e-05
7.699, -0.000707876
7.749, -0.00064443
7.798, -0.00269617
7.849, -0.000632702
7.899, -0.000626406
7.949, -5.53255e-06
7.999, -0.000611356
8.049, -2.48694e-06
8.099, -0.000616781
8.149, -1.18771e-05
8.199, -5.33638e-06
8.249, 6.85322e-08
8.299, -0.000583602
8.349, 8.37997e-05
8.399, 1.25351e-05
8.449, 8.49116e-05
8.499, -0.000571301
8.549, 1.58688e-05
8.598, -0.00279824
8.649, 2.64171e-05
8.699, 2.41399e-05
8.749, -0.000568238
8.799, 3.50969e-05
8.849, 0.000106543
8.899, -0.000539926
8.949, 4.10489e-05
8.999, 4.77995e-05
9.049, 5.49219e-05
9.099, 5.7564e-05
9.149, 5.68255e-05
9.199, -0.00051135
9.249, 0.000139177
9.299, 0.000138885
9.349, 8.08625e-05
9.399, -0.000482329
9.449, -0.000493819
9.499, 0.000164178
9.549, 0.000103533
9.599, -0.000458615
9.649, 0.00018475
9.699, 0.000183874
9.749, 0.000128392
9.799, -0.000429969
9.849, -0.000440673
9.899, 0.000211809
9.949, 0.000152143
9.999, -0.0003989
10.049, -0.000397493
10.099, 0.000238355
10.149, 0.000240467
10.199, 0.000184899
10.249, 0.000186754
10.299, -0.000359178
10.349, -0.000354174
10.399, 0.00027638
10.449, 0.000279805
10.499, 0.000284941
10.549, 0.000232762
10.599, 0.000237089
10.649, 0.000243441
10.699, 0.00024722
10.749, 0.00025501
10.799, 0.000260814
10.849, 0.000267679
10.899, 0.000275575
10.949, 0.000283176
10.999, 0.000291586
11.049, 0.000298949
11.099, 0.000308706
11.149, 0.000372522
11.199, 0.000382729
11.249, 0.000393542
11.299, -0.000217777
11.349, -0.000205944
11.399, 0.000344216
11.449, 0.000358754
11.499, 0.000425638
11.549, -0.000195751
11.599, -0.000169181
11.649, 0.000385823
11.699, 0.000454767
11.749, -0.000152753
11.799, 8.55714e-06
11.849, 0.000724407
11.899, 0.000759486
11.949, 0.000149847
11.999, 0.000251412
12.049, 0.00103323
12.099, 0.000100799
12.149, -0.000745402
12.199, -0.0128416
12.249, -0.0257177
12.299, -0.0181402
12.348, -0.00458814
12.399, 0.00916743
12.449, -0.0217285
12.499, -0.010755
12.549, -0.00705828
12.599, 0.00899257
12.649, -0.00729267
12.699, -0.0133672
12.749, 0.0116708
12.799, -0.00326882
12.849, 0.00627352
12.899, -0.00526177
12.949, -0.00640261
12.999, 0.00511143
13.049, 0.00843602
13.099, -0.00271482
13.149, -0.0067003
13.199, -0.028295
13.249, -0.0237751
13.299, -0.0276826
13.349, -0.0394466
13.399, -0.0391764
13.449, -0.0237879
13.499, -0.0230503
13.549, -0.0354316
13.599, -0.0404041
13.649, -0.0343803
13.699, -0.0278408
13.749, -0.029951
13.798, 0.0220608
13.849, -0.0377161
13.899, -0.0296761
13.949, -0.0259738
13.999, -0.0282846
14.049, -0.0322415
14.099, -0.0329887
14.149, -0.0259286
14.199, -0.0264962
14.249, -0.0420508
14.299, -0.0409991
14.349, -0.0300461
14.399, -0.0289346
14.449, -0.0376418
14.499, -0.0321409
14.549, -0.0232605
14.599, -0.0344381
14.649, -0.0440879
14.699, -0.0360512
14.749, -0.0311317
14.799, -0.0352145
14.849, -0.0381126
14.899, -0.0266959
14.949, -0.0257244
14.999, -0.0386212
15.049, -0.0349008
15.099, -0.0251096
15.149, -0.0265772
15.199, -0.0392976
15.249, -0.0365128
15.299, -0.0234469
15.349, -0.0241404
15.399, -0.0398842
15.449, -0.0385226
15.499, -0.0248116
15.549, -0.0227457
15.599, -0.0387932
15.649, -0.0405529
15.699, -0.0264895
15.749, -0.0227395
15.799, -0.0347163
15.849, -0.0403921
15.899, -0.0317099
15.949, -0.0225629
15.999, -0.025762
16.049, -0.034159
16.099, -0.0343381
16.149, -0.0279998
16.199, -0.0244698
16.249, -0.0287961
16.299, -0.0329389
16.349, -0.0309652
16.399, -0.0272569
16.449, -0.0277344
16.499, -0.0304127
16.549, -0.03183
16.599, -0.0290582
16.649, -0.0275272
16.698, 0.0182808
16.749, -0.0308741
16.799, -0.0295119
16.849, -0.0283665
16.899, -0.0281885
16.949, -0.0289344
16.999, -0.0294466
17.049, -0.0290382
17.099, -0.0284994
17.149, -0.0285592
17.199, -0.0289969
17.249, -0.0291525
17.299, -0.02886
17.349, -0.0285964
17.399, -0.0286901
17.449, -0.0289328
17.499, -0.028956
17.549, -0.028763
17.599, -0.0286452
17.649, -0.0287284
17.699, -0.0288426
17.749, -0.0288132
17.799, -0.0286965
17.849, -0.0286542
17.899, -0.0287095
17.949, -0.0287505
17.999, -0.0287069
18.049, -0.0286369
18.099, -0.0286215
18.149, -0.028651
18.199, -0.0286565
18.249, -0.0286181
18.299, -0.0285762
18.349, -0.0285705
18.399, -0.0285753
18.449, -0.028552
18.499, -0.0285145
18.549, -0.0284953
18.599, -0.0284749
18.649, -0.0284076
18.699, -0.0283197
18.749, -0.0282846
18.799, -0.0282993
18.849, -0.0282853
18.899, -0.0282153
18.949, -0.0281482
18.999, -0.0281247
19.049, -0.0280991
19.099, -0.0280301
19.149, -0.0279697
19.199, -0.027965
19.249, -0.0279648
19.299, -0.0278934
19.349, -0.0277891
19.399, -0.0277453
19.449, -0.027758
19.499, -0.0277314
19.549, -0.0276424
19.599, -0.0275779
19.649, -0.0275781
19.699, -0.0275544
